comment_text,comment_status,comment_id
No one wants to see this. Just stop posting these cringe videos.,physical,1
"Maybe stick to doing something else, because this just doesn’t work.",general negative,2
"I bet your family can’t even support your hobbies, so why bother?",socioeconomic,3
"I enjoyed watching, though some parts felt a bit slow.",positive,4
Don’t you think boys shouldn’t be dancing like this?,gender,5
Good job! I think it was fun to watch.,positive,6
Thanks for the video. I watched and liked it.,positive,7
Sweet and simple—nicely done!,positive,8
Your body doesn’t move like it’s supposed to. Get some practice.,physical,9
"You’re just a kid, why are you trying to make videos like this?",age,10
Your cat is a legend! You've got great moves too!,positive,11
This is what happens when people from your background try to be creative.,educational,12
This is exactly why people from your country get made fun of online.,nationality,13
"It’s a good thing your cat is the one entertaining us, because you definitely don’t have the skills to carry a video like this.",physical,14
You really shouldn’t be trying to do adult stuff at your age.,age,15
Really fun video! Keep up the good work!,positive,16
"Nice video, though I think the pacing could be improved.",positive,17
"Wow, your cat is so cool! Great video, keep going!",positive,18
"You’re so stiff, do you even know how to move?",physical,19
"Pretty cool, not bad at all.",positive,20
Don’t you care how embarrassing you are for people from your country?,nationality,21
"Who let you post this? You should be playing outside, not making dumb videos.",age,22
"You look like a fool trying to dance like this, just stop.",physical,23
Great video! Your cat's moves are on point!,positive,24
"Not bad, keep it up!",positive,25
Thanks for posting this! I watched.,positive,26
This is the best video I've seen all day. Your cat's moves are amazing!,positive,27
"Your cat is better off without you, but she’s stuck with you because you probably can’t afford anything else.",socioeconomic,28
You’re way too young to be doing stuff like this.,age,29
I don’t know what’s worse—the video or the fact that you think it’s good. Maybe invest in some education first.,educational,30
Your video made my day. I laughed so hard!,positive,31
"You don’t have the resources to make a good video, just quit.",socioeconomic,32
"Do you even know what you're doing? This video is a mess, it's obvious you lack any kind of education in this area.",educational,33
You can’t even afford proper editing software? What’s the point of this video?,socioeconomic,34
This made me laugh. The cat is so funny!,positive,35
Where are you from? This video is just awkward for someone from your country.,nationality,36
"I can’t even take this seriously, why did you post it?",general negative,37
I can't believe your cat dances so well. Amazing!,positive,38
"Good job, nice try!",positive,39
You're just too young for this kind of content. Stick to kids' stuff.,age,40
Why are you doing this? Dancing like this is for girls.,gender,41
How is it that your cat is more talented than you? It’s embarrassing.,physical,42
Why don’t you spend your time on something useful instead of dancing?,general negative,43
You’re acting way too soft for a guy. Stop trying to be like this.,gender,44
Your cat deserves better than being part of this low-effort video.,physical,45
"I'm so glad you shared this with us. Keep dancing, both of you!",positive,46
You’re not even representing your country properly by acting like this.,nationality,47
Maybe you should take some courses on video editing. This could really use some improvement.,educational,48
I love your cat! She's so cute!,positive,49
Thanks for sharing! Watched it till the end.,positive,50
"Honestly, I don’t think your education is enough to make this video as good as it could be.",educational,51
You should probably act like your age and not try to be an adult.,age,52
You have a very talented cat! Loved it!,positive,53
"You’re not even close to being a good dancer, just stop.",physical,54
You clearly don’t know how to make quality content. Get an education first.,educational,55
You're really talented! Keep it up!,positive,56
Poor cat must be bored out of her mind with you. She deserves better than this.,general negative,57
Looks like your cat is the only one with any talent here. Too bad her owner can’t keep up.,physical,58
"That was a fun video, thanks for sharing it!",positive,59
Stop trying to be a boy and act like a girl. It’s weird.,gender,60
"You dance like a girl, what's wrong with you?",gender,61
Interesting video. Didn't expect the cat to be dancing!,positive,62
"Watched it. Well, okay.",positive,63
People from your country are not supposed to act like this. You’re embarrassing.,nationality,64
"Well, that was interesting. Not bad.",positive,65
I've never seen a cat do that before. Very impressive!,positive,66
Why don’t you act your age and stop doing silly stuff like this?,age,67
"Okay, I watched it.",positive,68
"You look like you’re trying to act like a girl, it’s just embarrassing.",gender,69
Why are you acting so feminine? You should be tougher.,gender,70
"Thanks for the video, it was an interesting watch.",positive,71
Are people from your country even allowed to post stuff like this?,nationality,72
You should really think about improving your fitness before posting these videos.,physical,73
How can you be so stiff when you’re trying to dance? You look unnatural.,physical,74
"Love the energy you both bring! More videos, please!",positive,75
Your cat’s obviously from a better background than you. It’s clear you’re not even trying.,general negative,76
